FECHA;TMAX;TMIN;NOMBRE
5082021;26.0;7.5;ORAN AERO
4082021;24.4;10.5;ORAN AERO
3082021;26.0;7.4;ORAN AERO
2082021;24.8;6.7;ORAN AERO
1082021;23.5;6.7;ORAN AERO
31072021;23.0;2.7;ORAN AERO
30072021;20.8;2.6;ORAN AERO
29072021;19.6;2.8;ORAN AERO
28072021;15.1;7.9;ORAN AERO
27072021;19.2;12.7;ORAN AERO
26072021;23.8;10.1;ORAN AERO
25072021;29.4;13.1;ORAN AERO
24072021;30.5;12.7;ORAN AERO
23072021;29.2;9.4;ORAN AERO
22072021;26.5;5.2;ORAN AERO
21072021;25.6;4.9;ORAN AERO
20072021;23.3;6.6;ORAN AERO
19072021;20.7;2.7;ORAN AERO
